DATE,PCODE
20130101,S10
20130102,100
20130103,0
20130104,1
20130105,11
20130106,110
20130107,100
20130108,0
20130109,0
20130110,0
20130111,1
20130112,11
20130113,110
20130114,100
20130115,0
20130116,0
20130117,0
20130118,1
20130119,11
20130120,110
20130121,100
20130122,0
20130123,0
20130124,0
20130125,1
20130126,11
20130127,110
20130128,100
20130129,0
20130130,0
20130131,0
20130201,1
20130202,11
20130203,110
20130204,100
20130205,0
20130206,0
20130207,1
20130208,1
20130209,A-1
20130210,A0
20130211,A+1
20130212,A+2
20130213,0
20130214,0
20130215,1
20130216,11
20130217,110
20130218,100
20130219,0
20130220,0
20130221,0
20130222,1
20130223,11
20130224,110
20130225,100
20130226,0
20130227,0
20130228,1
20130301,12
20130302,111
20130303,110
20130304,100
20130305,0
20130306,0
20130307,0
20130308,1
20130309,11
20130310,110
20130311,100
20130312,0
20130313,0
20130314,0
20130315,1
20130316,11
20130317,110
20130318,100
20130319,0
20130320,0
20130321,0
20130322,1
20130323,11
20130324,110
20130325,100
20130326,0
20130327,0
20130328,0
20130329,1
20130330,11
20130331,110
20130401,100
20130402,0
20130403,0
20130404,0
20130405,1
20130406,11
20130407,110
20130408,100
20130409,0
20130410,0
20130411,0
20130412,1
20130413,11
20130414,110
20130415,100
20130416,0
20130417,0
20130418,0
20130419,1
20130420,11
20130421,110
20130422,100
20130423,0
20130424,0
20130425,0
20130426,1
20130427,11
20130428,110
20130429,100
20130430,0
20130501,0
20130502,0
20130503,1
20130504,11
20130505,110
20130506,100
20130507,0
20130508,0
20130509,0
20130510,1
20130511,11
20130512,110
20130513,100
20130514,0
20130515,0
20130516,1
20130517,12
20130518,111
20130519,110
20130520,100
20130521,0
20130522,0
20130523,0
20130524,1
20130525,11
20130526,110
20130527,100
20130528,0
20130529,0
20130530,0
20130531,1
20130601,11
20130602,110
20130603,100
20130604,0
20130605,1
20130606,01S
20130607,101
20130608,11
20130609,110
20130610,100
20130611,0
20130612,0
20130613,0
20130614,1
20130615,11
20130616,110
20130617,100
20130618,0
20130619,0
20130620,0
20130621,1
20130622,11
20130623,110
20130624,100
20130625,0
20130626,0
20130627,0
20130628,1
20130629,11
20130630,110
20130701,100
20130702,0
20130703,0
20130704,0
20130705,1
20130706,11
20130707,110
20130708,100
20130709,0
20130710,0
20130711,0
20130712,1
20130713,11
20130714,110
20130715,100
20130716,0
20130717,0
20130718,0
20130719,1
20130720,11
20130721,110
20130722,100
20130723,0
20130724,0
20130725,0
20130726,1
20130727,11
20130728,110
20130729,100
20130730,0
20130731,0
20130801,0
20130802,1
20130803,11
20130804,110
20130805,100
20130806,0
20130807,0
20130808,0
20130809,1
20130810,11
20130811,110
20130812,100
20130813,0
20130814,1
20130815,01S
20130816,101
20130817,11
20130818,110
20130819,100
20130820,0
20130821,0
20130822,0
20130823,1
20130824,11
20130825,110
20130826,100
20130827,0
20130828,0
20130829,0
20130830,1
20130831,11
20130901,110
20130902,100
20130903,0
20130904,0
20130905,0
20130906,1
20130907,11
20130908,110
20130909,100
20130910,0
20130911,0
20130912,0
20130913,1
20130914,11
20130915,110
20130916,100
20130917,1
20130918,A-1
20130919,A0
20130920,A+1
20130921,A+2
20130922,A
20130923,A
20130924,0
20130925,0
20130926,0
20130927,1
20130928,11
20130929,110
20130930,100
20131001,0
20131002,1
20131003,01S
20131004,101
20131005,11
20131006,110
20131007,100
20131008,1
20131009,10
20131010,100
20131011,1
20131012,11
20131013,110
20131014,100
20131015,0
20131016,0
20131017,0
20131018,1
20131019,11
20131020,110
20131021,100
20131022,0
20131023,0
20131024,0
20131025,1
20131026,11
20131027,110
20131028,100
20131029,0
20131030,0
20131031,0
20131101,1
20131102,11
20131103,110
20131104,100
20131105,0
20131106,0
20131107,0
20131108,1
20131109,11
20131110,110
20131111,100
20131112,0
20131113,0
20131114,0
20131115,1
20131116,11
20131117,110
20131118,100
20131119,0
20131120,0
20131121,0
20131122,1
20131123,11
20131124,110
20131125,100
20131126,0
20131127,0
20131128,0
20131129,1
20131130,11
20131201,110
20131202,100
20131203,0
20131204,0
20131205,0
20131206,1
20131207,11
20131208,110
20131209,100
20131210,0
20131211,0
20131212,0
20131213,1
20131214,11
20131215,110
20131216,100
20131217,0
20131218,0
20131219,0
20131220,1
20131221,11
20131222,110
20131223,100
20131224,1
20131225,10
20131226,100
20131227,1
20131228,11
20131229,110
20131230,100
20131231,1
20140101,10
20140102,100
20140103,1
20140104,11
20140105,110
20140106,100
20140107,0
20140108,0
20140109,0
20140110,1
20140111,11
20140112,110
20140113,100
20140114,0
20140115,0
20140116,0
20140117,1
20140118,11
20140119,110
20140120,100
20140121,0
20140122,0
20140123,0
20140124,1
20140125,11
20140126,110
20140127,100
20140128,0
20140129,1
20140130,A-1
20140131,A0
20140201,A+1
20140202,A+2
20140203,A
20140204,A
20140205,0
20140206,0
20140207,1
20140208,11
20140209,110
20140210,100
20140211,0
20140212,0
20140213,0
20140214,1
20140215,11
20140216,110
20140217,100
20140218,0
20140219,0
20140220,0
20140221,1
20140222,11
20140223,110
20140224,100
20140225,0
20140226,0
20140227,0
20140228,1
20140301,11
20140302,110
20140303,100
20140304,0
20140305,0
20140306,0
20140307,1
20140308,11
20140309,110
20140310,100
20140311,0
20140312,0
20140313,0
20140314,1
20140315,11
20140316,110
20140317,100
20140318,0
20140319,0
20140320,0
20140321,1
20140322,11
20140323,110
20140324,100
20140325,0
20140326,0
20140327,0
20140328,1
20140329,11
20140330,110
20140331,100
20140401,0
20140402,0
20140403,0
20140404,1
20140405,11
20140406,110
20140407,100
20140408,0
20140409,0
20140410,0
20140411,1
20140412,11
20140413,110
20140414,100
20140415,0
20140416,0
20140417,0
20140418,1
20140419,11
20140420,110
20140421,100
20140422,0
20140423,0
20140424,0
20140425,1
20140426,11
20140427,110
20140428,100
20140429,0
20140430,0
20140501,0
20140502,1
20140503,12
20140504,111
20140505,111
20140506,110
20140507,100
20140508,0
20140509,1
20140510,11
20140511,110
20140512,100
20140513,0
20140514,0
20140515,0
20140516,1
20140517,11
20140518,110
20140519,100
20140520,0
20140521,0
20140522,0
20140523,1
20140524,11
20140525,110
20140526,100
20140527,0
20140528,0
20140529,0
20140530,1
20140531,11
20140601,110
20140602,100
20140603,1
20140604,10
20140605,101
20140606,12
20140607,111
20140608,110
20140609,100
20140610,0
20140611,0
20140612,0
20140613,1
20140614,11
20140615,110
20140616,100
20140617,0
20140618,0
20140619,0
20140620,1
20140621,11
20140622,110
20140623,100
20140624,0
20140625,0
20140626,0
20140627,1
20140628,11
20140629,110
20140630,100
20140701,0
20140702,0
20140703,0
20140704,1
20140705,11
20140706,110
20140707,100
20140708,0
20140709,0
20140710,0
20140711,1
20140712,11
20140713,110
20140714,100
20140715,0
20140716,0
20140717,0
20140718,1
20140719,11
20140720,110
20140721,100
20140722,0
20140723,0
20140724,0
20140725,1
20140726,11
20140727,110
20140728,100
20140729,0
20140730,0
20140731,0
20140801,1
20140802,11
20140803,110
20140804,100
20140805,0
20140806,0
20140807,0
20140808,1
20140809,11
20140810,110
20140811,100
20140812,0
20140813,0
20140814,1
20140815,12
20140816,111
20140817,110
20140818,100
20140819,0
20140820,0
20140821,0
20140822,1
20140823,11
20140824,110
20140825,100
20140826,0
20140827,0
20140828,0
20140829,1
20140830,11
20140831,110
20140901,100
20140902,0
20140903,0
20140904,0
20140905,1
20140906,A-2
20140907,A-1
20140908,A0
20140909,A+1
20140910,A+2
20140911,A
20140912,A
20140913,11
20140914,110
20140915,100
20140916,0
20140917,0
20140918,0
20140919,1
20140920,11
20140921,110
20140922,100
20140923,0
20140924,0
20140925,0
20140926,1
20140927,11
20140928,110
20140929,100
20140930,0
20141001,0
20141002,1
20141003,12
20141004,111
20141005,110
20141006,100
20141007,0
20141008,1
20141009,01S
20141010,101
20141011,11
20141012,110
20141013,100
20141014,0
20141015,0
20141016,0
20141017,1
20141018,11
20141019,110
20141020,100
20141021,0
20141022,0
20141023,0
20141024,1
20141025,11
20141026,110
20141027,100
20141028,0
20141029,0
20141030,0
20141031,1
20141101,11
20141102,110
20141103,100
20141104,0
20141105,0
20141106,0
20141107,1
20141108,11
20141109,110
20141110,100
20141111,0
20141112,0
20141113,0
20141114,1
20141115,11
20141116,110
20141117,100
20141118,0
20141119,0
