DATE,DES_CAR_TOTAL,MEAN_TEMP,AVG_RAIN,AVG_SNOW,TOTAL_SNOW,PCODE
20130101,52994,-4.7,3.1,4.9,10.9,S10
20130102,33599,-11.7,0,0,10.9,100
20130103,22965,-13.2,0,0,10.1,0
20130104,27656,-10.7,0,0,9.2,1
20130105,38166,-7,0,0,7.5,11
20130106,51248,-6.3,0,0,7.3,110
20130107,27845,-5.1,0,0,7.1,100
20130108,27132,-4.6,0,0,6.9,0
20130109,25235,-9,0,0,6.4,0
20130110,25347,-8.3,0,0,6.2,0
20130111,30863,-3.2,0,0,6.1,1
20130112,48382,0,0.1,0.1,6.1,11
20130113,62030,-0.5,0,0,3.8,110
20130114,32045,-2.1,0,0,3.4,100
20130115,28040,-2.1,0,0,3.2,0
20130116,26862,-2.6,0.3,0.5,3.6,0
20130117,25121,-5.8,0,0,2.9,0
20130118,30055,-4.4,0,0,2.8,1
20130119,49805,0.5,0,0,2.8,11
20130120,63724,1.6,0,0,2.3,110
20130121,27381,2.2,16.5,0,1.7,100
20130122,23095,3.8,0.5,0,0,0
20130123,25337,1.8,1.5,0,0,0
20130124,26073,-0.9,0.1,0.3,0.3,0
20130125,30260,-9.1,0,0,0,1
20130126,46590,-9.2,0,0,0,11
20130127,59014,-7.3,0,0,0,110
20130128,29610,-3.5,0,0,0,100
20130129,26818,2.2,0,0,0,0
20130130,25863,5.4,0,0,0,0
20130131,26725,7.4,0,0,0,0
20130201,26836,7.3,46.5,0,0,1
20130202,41631,-1.1,0,0,0,11
20130203,51504,-3.2,7.5,9,9,110
20130204,21373,-0.8,7.4,7.7,16.5,100
20130205,22420,-0.6,4.5,1.5,13.5,0
20130206,20947,-1.5,2.1,1.6,15.1,0
20130207,23697,-11.1,0,0,12.9,1
20130208,23851,-11.5,0,0,12.7,1
20130209,25043,-7.2,0,0,12.5,A-1
20130210,50018,-4,1.2,1.2,13.4,A0
20130211,60535,-5.8,0,0,11.3,A+1
20130212,41415,-3.8,0,0,10.3,A+2
20130213,25587,-1.3,0,0,10,0
20130214,26068,1.1,0,0,8.9,0
20130215,29766,-1.2,0,0,6,1
20130216,43192,-2.6,0,0,4.1,11
20130217,54868,2.3,0,0,3.3,110
20130218,29192,0.5,0,0,0.5,100
20130219,26830,-2.9,0,0,0,0
20130220,28164,-4.8,0,0,0,0
20130221,28481,-1.7,0,0,0,0
20130222,32607,0.5,3.9,3.9,3.9,1
20130223,45268,-0.9,0,0,0,11
20130224,58367,1.4,0,0,0,110
20130225,33687,3.3,0,0,0,100
20130226,30223,4.8,0,0,0,0
20130227,30894,3.4,0,0,0,0
20130228,34634,6.7,1,0,0,1
20130301,52055,0.8,3,0,0,12
20130302,66110,-0.8,0,0,0,111
20130303,70087,0.4,0,0,0,110
20130304,26303,3.1,0,0,0,100
20130305,23786,3.7,0,0,0,0
20130306,24264,7.9,0,0,0,0
20130307,23342,8,0.5,0,0,0
20130308,28661,8.5,0,0,0,1
20130309,40209,13.2,0,0,0,11
20130310,51098,1.2,0,0,0,110
20130311,25557,4.2,0,0,0,100
20130312,24642,7.5,3.5,0,0,0
20130313,22842,5.2,11.5,0,0,0
20130314,24727,4.1,0,0,0,0
20130315,29652,4.6,0,0,0,1
20130316,40486,6.3,0,0,0,11
20130317,51340,8.2,7.5,0,0,110
20130318,25656,8.3,1,0,0,100
20130319,24576,8,0,0,0,0
20130320,23073,2.8,0.1,0,0,0
20130321,24195,1.5,0,0,0,0
20130322,29754,3.4,0,0,0,1
20130323,41148,5.4,0,0,0,11
20130324,53307,5.1,0,0,0,110
20130325,25732,2.8,0,0,0,100
