DATE,DES_CAR_TOTAL,MEAN_TEMP,AVG_RAIN,AVG_SNOW,TOTAL_SNOW,PCODE
20130101,36092,-9.9,4.8,5.8,25.1,S10
20130102,23423,-13.9,1,1.6,26.4,100
20130103,23431,-17.2,0,0,24.3,0
20130104,35427,-15.7,0,0,23.6,1
20130105,53473,-11.9,0,0,21.6,11
20130106,34040,-10.4,0,0,18.9,110
20130107,27582,-10.6,0,0,18,100
20130108,27370,-9.9,0,0,17.5,0
20130109,25311,-12.1,0,0,17.3,0
20130110,26724,-13.1,0,0,17.1,0
20130111,44009,-9.1,0,0,16.9,1
20130112,63955,-4.1,0.3,0.5,17.2,11
20130113,41555,-5.7,0,0,16.6,110
20130114,29540,-6.5,0,0,16.2,100
20130115,28168,-6.1,0.2,0.2,16.2,0
20130116,27042,-6.9,0,0,15.9,0
20130117,26217,-8.6,8.6,16.3,31.1,0
20130118,43541,-10.3,0,0,31.1,1
20130119,65230,-6.1,0,0,29,11
20130120,42392,-6.5,0,0,26.5,110
20130121,23375,-0.9,23.3,27,42,100
20130122,23305,-1.8,9,9.8,48.7,0
20130123,26151,-2.5,0.6,0.9,49.4,0
20130124,26859,-5.3,0,0,48.5,0
20130125,42543,-13.8,0,0,43.2,1
20130126,61297,-14.9,0,0,42,11
20130127,35725,-14,0,0,41.7,110
20130128,28729,-9,0,0,41.5,100
20130129,27149,-0.3,0.1,0.1,41.3,0
20130130,26163,0.5,0,0,38.6,0
20130131,26674,1,0,0,33.2,0
20130201,35250,4.4,18.5,0,30.5,1
20130202,56487,-2,0,0,21,11
20130203,29407,-5.8,7,7.7,19.6,110
20130204,19519,-3.5,3.9,4.3,22.7,100
20130205,22442,-6,2.4,3.4,20.7,0
20130206,19975,-3.8,2.2,2.9,23.6,0
20130207,24182,-13.6,0,0,20.8,1
20130208,46228,-15.2,0,0,19.7,1
20130209,56928,-11.7,0,0,19.3,A-1
20130210,50473,-7.7,0,0,14.3,A0
20130211,32696,-9.9,0,0,12.2,A+1
20130212,27154,-6.7,0,0,11.5,A+2
20130213,25991,-7.5,0,0,11.3,0
20130214,27231,-2.9,0,0,11,0
20130215,40521,-4.4,0,0,10.3,1
20130216,57376,-8.5,0,0,9.9,11
20130217,34291,-2.5,0.1,0.3,9.9,110
20130218,28849,-2.5,0,0,9.5,100
20130219,27069,-6,2.3,2.8,11.8,0
20130220,29076,-8.4,0,0,9.6,0
20130221,30723,-7.5,0,0,9.4,0
20130222,42717,-4.7,0.7,1,10.2,1
20130223,59151,-6.4,0,0,9.8,11
20130224,39055,-3.4,0,0,9.4,110
20130225,33029,-5.7,0,0,8.6,100
20130226,30880,-1.8,0,0,7.9,0
20130227,31206,1.8,0,0,7.2,0
20130228,47338,3.8,0,0,4.6,1
20130301,69546,-0.6,2,0,2.5,12
20130302,60241,-4.9,0,0,0,111
20130303,35466,-3.8,0,0,0,110
20130304,26170,-2.3,0,0,0,100
20130305,25115,0.5,0,0,0,0
20130306,24721,5.2,0,0,0,0
20130307,24432,5.4,1,0,0,0
20130308,34997,5.6,0,0,0,1
20130309,54401,11.3,0,0,0,11
20130310,32042,1.3,0,0,0,110
20130311,26688,0.8,0,0,0,100
20130312,25110,5.8,0.4,0,0,0
20130313,22974,-2,21,3,3,0
20130314,26053,-0.4,0.1,0.2,3.2,0
20130315,36280,2.4,0,0,0,1
20130316,56011,4.4,0,0,0,11
20130317,31148,6.1,4.5,0,0,110
20130318,27319,6.6,8.5,0,0,100
20130319,25581,4.6,0,0,0,0
20130320,22876,-2.9,8.2,7.4,7.4,0
20130321,25550,-2.7,0,0,7.4,0
20130322,36613,1.1,0,0,0.8,1
20130323,56107,0.1,0,0,0,11
20130324,33082,0.9,0,0,0,110
20130325,26893,-3.9,7,12.6,12.6,100
20130326,25687,-1.4,0,0,12.5,0
20130327,25958,5.6,0,0,0,0
20130328,26297,5.9,0.2,0,0,0
20130329,36576,0.6,0,0,0,1
20130330,55467,-0.2,0.4,0,0,11
20130331,32788,2.3,2.2,2.5,2.5,110
20130401,28007,4.4,0,0,0,100
20130402,24397,3,3.5,0,0,0
20130403,26038,6.3,0,0,0,0
20130404,27928,4,0,0,0,0
20130405,41315,4.9,0,0,0,1
20130406,44674,2.8,9.9,3.8,3.8,11
