DATE,MEAN_TEMP,AVG_RAIN,AVG_SNOW,TOTAL_SNOW
20130101,-9.9,4.8,5.8,25.1
20130102,-13.9,1,1.6,26.4
20130103,-17.2,0,0,24.3
20130104,-15.7,0,0,23.6
20130105,-11.9,0,0,21.6
20130106,-10.4,0,0,18.9
20130107,-10.6,0,0,18
20130108,-9.9,0,0,17.5
20130109,-12.1,0,0,17.3
20130110,-13.1,0,0,17.1
20130111,-9.1,0,0,16.9
20130112,-4.1,0.3,0.5,17.2
20130113,-5.7,0,0,16.6
20130114,-6.5,0,0,16.2
20130115,-6.1,0.2,0.2,16.2
20130116,-6.9,0,0,15.9
20130117,-8.6,8.6,16.3,31.1
20130118,-10.3,0,0,31.1
20130119,-6.1,0,0,29
20130120,-6.5,0,0,26.5
20130121,-0.9,23.3,27,42
20130122,-1.8,9,9.8,48.7
20130123,-2.5,0.6,0.9,49.4
20130124,-5.3,0,0,48.5
20130125,-13.8,0,0,43.2
20130126,-14.9,0,0,42
20130127,-14,0,0,41.7
20130128,-9,0,0,41.5
20130129,-0.3,0.1,0.1,41.3
20130130,0.5,0,0,38.6
20130131,1,0,0,33.2
20130201,4.4,18.5,0,30.5
20130202,-2,0,0,21
20130203,-5.8,7,7.7,19.6
20130204,-3.5,3.9,4.3,22.7
20130205,-6,2.4,3.4,20.7
20130206,-3.8,2.2,2.9,23.6
20130207,-13.6,0,0,20.8
20130208,-15.2,0,0,19.7
20130209,-11.7,0,0,19.3
20130210,-7.7,0,0,14.3
20130211,-9.9,0,0,12.2
20130212,-6.7,0,0,11.5
20130213,-7.5,0,0,11.3
20130214,-2.9,0,0,11
20130215,-4.4,0,0,10.3
20130216,-8.5,0,0,9.9
20130217,-2.5,0.1,0.3,9.9
20130218,-2.5,0,0,9.5
20130219,-6,2.3,2.8,11.8
20130220,-8.4,0,0,9.6
20130221,-7.5,0,0,9.4
20130222,-4.7,0.7,1,10.2
20130223,-6.4,0,0,9.8
20130224,-3.4,0,0,9.4
20130225,-5.7,0,0,8.6
20130226,-1.8,0,0,7.9
20130227,1.8,0,0,7.2
20130228,3.8,0,0,4.6
20130301,-0.6,2,0,2.5
20130302,-4.9,0,0,0
20130303,-3.8,0,0,0
20130304,-2.3,0,0,0
20130305,0.5,0,0,0
20130306,5.2,0,0,0
20130307,5.4,1,0,0
20130308,5.6,0,0,0
20130309,11.3,0,0,0
20130310,1.3,0,0,0
20130311,0.8,0,0,0
20130312,5.8,0.4,0,0
20130313,-2,21,3,3
20130314,-0.4,0.1,0.2,3.2
20130315,2.4,0,0,0
20130316,4.4,0,0,0
20130317,6.1,4.5,0,0
20130318,6.6,8.5,0,0
20130319,4.6,0,0,0
20130320,-2.9,8.2,7.4,7.4
20130321,-2.7,0,0,7.4
20130322,1.1,0,0,0.8
20130323,0.1,0,0,0
20130324,0.9,0,0,0
20130325,-3.9,7,12.6,12.6
20130326,-1.4,0,0,12.5
20130327,5.6,0,0,0
20130328,5.9,0.2,0,0
20130329,0.6,0,0,0
20130330,-0.2,0.4,0,0
20130331,2.3,2.2,2.5,2.5
20130401,4.4,0,0,0
20130402,3,3.5,0,0
20130403,6.3,0,0,0
20130404,4,0,0,0
20130405,4.9,0,0,0
20130406,2.8,9.9,3.8,3.8
20130407,-0.4,2.8,4,7.1
20130408,3.7,0,0,0
20130409,1.2,0.6,0.1,0.1
20130410,-0.5,0,0,0
20130411,-0.4,1.9,0.6,0.6
20130412,1.2,0,0,0
20130413,8.4,0,0,0
20130414,6,8,0,0
20130415,3.1,0,0,0
20130416,8.7,0,0,0
20130417,1.4,1.5,0,0
20130418,4,0,0,0
20130419,1.3,0,0,0
20130420,0.8,3.9,2,2
20130421,2,0,0,0
20130422,6.9,0,0,0
20130423,8.3,5.5,0,0
20130424,10.9,1.5,0,0
20130425,5.5,5.5,0,0
20130426,5,0.5,0,0
20130427,6.5,0,0,0
20130428,9.5,0,0,0
20130429,11.3,1.5,0,0
20130430,7.7,0.3,0,0
20130501,4.8,3.5,0,0
20130502,4,4,0,0
20130503,6.7,6,0,0
20130504,10.3,0.3,0,0
20130505,12.8,0,0,0
20130506,12.6,0,0,0
20130507,10.7,0,0,0
20130508,16.2,0,0,0
20130509,15.1,0.1,0,0
20130510,12.6,5.5,0,0
20130511,15.1,0,0,0
20130512,17.7,0.2,0,0
20130513,18.4,0,0,0
20130514,17.1,0,0,0
20130515,10.9,0,0,0
20130516,8.1,0,0,0
20130517,11.6,0,0,0
20130518,13.9,3,0,0
20130519,10.5,31.5,0,0
20130520,12.5,0,0,0
20130521,14.8,0,0,0
20130522,16.1,0,0,0
20130523,15.7,0,0,0
20130524,19.8,0,0,0
20130525,16.3,0,0,0
20130526,18.8,0,0,0
20130527,15.5,18.2,0,0
20130528,17.7,10.5,0,0
20130529,14.7,0,0,0
20130530,16,0,0,0
20130531,17.3,0,0,0
20130601,16.4,0,0,0
20130602,12.9,0,0,0
20130603,14.4,0,0,0
20130604,17.6,0,0,0
20130605,17.3,0,0,0
20130606,16,0,0,0
20130607,16.6,0,0,0
20130608,16.5,0,0,0
20130609,14.6,0,0,0
20130610,14.2,0,0,0
20130611,12.7,1.5,0,0
20130612,18.2,2,0,0
20130613,18.4,0,0,0
20130614,19,0.2,0,0
20130615,20.8,0,0,0
20130616,21.3,0,0,0
20130617,19,0,0,0
20130618,18.2,26.5,0,0
20130619,17.6,8.5,0,0
20130620,20.1,0,0,0
20130621,17.8,0.5,0,0
20130622,17.1,0.1,0,0
20130623,18.3,0.5,0,0
20130624,18.4,4.5,0,0
20130625,18.9,28.5,0,0
20130626,17.7,0.5,0,0
20130627,18.1,4.5,0,0
20130628,18.9,5.5,0,0
20130629,18.5,0,0,0
20130630,20.1,0.5,0,0
20130701,21.3,0,0,0
20130702,22.2,5,0,0
20130703,21.8,0,0,0
20130704,22.2,2,0,0
20130705,20.6,8,0,0
20130706,22.6,0,0,0
20130707,22.2,0.5,0,0
20130708,22.6,7,0,0
20130709,23.3,0.1,0,0
20130710,22.8,8,0,0
20130711,22.5,13.5,0,0
20130712,20.7,8,0,0
20130713,20.6,28,0,0
20130714,20.9,62.5,0,0
20130715,19.3,122,0,0
20130716,23.8,0,0,0
20130717,22.2,10.5,0,0
20130718,20.9,24,0,0
20130719,22.4,0,0,0
20130720,23.1,0.4,0,0
20130721,23.3,0.1,0,0
20130722,21.4,57,0,0
20130723,22.5,10.5,0,0
20130724,22.8,5.5,0,0
20130725,21.5,0,0,0
20130726,22.2,0,0,0
20130727,22.2,0,0,0
20130728,21.8,0.4,0,0
20130729,23.8,0.5,0,0
20130730,22.2,0.5,0,0
20130731,23.3,18,0,0
20130801,21.4,0.5,0,0
20130802,21.7,0.5,0,0
20130803,23.5,0.5,0,0
20130804,23.7,0,0,0
20130805,22.8,2,0,0
20130806,23.8,0,0,0
20130807,25.2,0,0,0
20130808,25.4,0,0,0
20130809,25.1,7.5,0,0
