DATE,MEAN_TEMP,AVG_RAIN,AVG_SNOW,TOTAL_SNOW
20130101,-4.7,3.1,4.9,10.9
20130102,-11.7,0,0,10.9
20130103,-13.2,0,0,10.1
20130104,-10.7,0,0,9.2
20130105,-7,0,0,7.5
20130106,-6.3,0,0,7.3
20130107,-5.1,0,0,7.1
20130108,-4.6,0,0,6.9
20130109,-9,0,0,6.4
20130110,-8.3,0,0,6.2
20130111,-3.2,0,0,6.1
20130112,0,0.1,0.1,6.1
20130113,-0.5,0,0,3.8
20130114,-2.1,0,0,3.4
20130115,-2.1,0,0,3.2
20130116,-2.6,0.3,0.5,3.6
20130117,-5.8,0,0,2.9
20130118,-4.4,0,0,2.8
20130119,0.5,0,0,2.8
20130120,1.6,0,0,2.3
20130121,2.2,16.5,0,1.7
20130122,3.8,0.5,0,0
20130123,1.8,1.5,0,0
20130124,-0.9,0.1,0.3,0.3
20130125,-9.1,0,0,0
20130126,-9.2,0,0,0
20130127,-7.3,0,0,0
20130128,-3.5,0,0,0
20130129,2.2,0,0,0
20130130,5.4,0,0,0
20130131,7.4,0,0,0
20130201,7.3,46.5,0,0
20130202,-1.1,0,0,0
20130203,-3.2,7.5,9,9
20130204,-0.8,7.4,7.7,16.5
20130205,-0.6,4.5,1.5,13.5
20130206,-1.5,2.1,1.6,15.1
20130207,-11.1,0,0,12.9
20130208,-11.5,0,0,12.7
20130209,-7.2,0,0,12.5
20130210,-4,1.2,1.2,13.4
20130211,-5.8,0,0,11.3
20130212,-3.8,0,0,10.3
20130213,-1.3,0,0,10
20130214,1.1,0,0,8.9
20130215,-1.2,0,0,6
20130216,-2.6,0,0,4.1
20130217,2.3,0,0,3.3
20130218,0.5,0,0,0.5
20130219,-2.9,0,0,0
20130220,-4.8,0,0,0
20130221,-1.7,0,0,0
20130222,0.5,3.9,3.9,3.9
20130223,-0.9,0,0,0
20130224,1.4,0,0,0
20130225,3.3,0,0,0
20130226,4.8,0,0,0
20130227,3.4,0,0,0
20130228,6.7,1,0,0
20130301,0.8,3,0,0
20130302,-0.8,0,0,0
20130303,0.4,0,0,0
20130304,3.1,0,0,0
20130305,3.7,0,0,0
20130306,7.9,0,0,0
20130307,8,0.5,0,0
20130308,8.5,0,0,0
20130309,13.2,0,0,0
20130310,1.2,0,0,0
20130311,4.2,0,0,0
20130312,7.5,3.5,0,0
20130313,5.2,11.5,0,0
20130314,4.1,0,0,0
20130315,4.6,0,0,0
20130316,6.3,0,0,0
20130317,8.2,7.5,0,0
20130318,8.3,1,0,0
20130319,8,0,0,0
20130320,2.8,0.1,0,0
20130321,1.5,0,0,0
20130322,3.4,0,0,0
20130323,5.4,0,0,0
20130324,5.1,0,0,0
20130325,2.8,0,0,0
20130326,4.4,0,0,0
20130327,7.5,0,0,0
20130328,7.3,0,0,0
20130329,5.4,0,0,0
20130330,4.9,0.2,0,0
20130331,6.3,0,0,0
20130401,9.2,0.5,0,0
20130402,7.2,8.5,0,0
20130403,7.9,0,0,0
20130404,12.6,0,0,0
20130405,14.6,0,0,0
20130406,7.5,14,0,0
20130407,5.1,1,0,0
20130408,8,1,0,0
20130409,6.2,0.5,0,0
20130410,5,1.5,0,0
20130411,5.5,0.5,0,0
20130412,6.9,0,0,0
20130413,11.4,0,0,0
20130414,8.3,3.5,0,0
20130415,7.5,0,0,0
20130416,13.2,0,0,0
20130417,14.8,0,0,0
20130418,12.3,0,0,0
20130419,9.8,0,0,0
20130420,6.6,9.5,0,0
20130421,9,0,0,0
20130422,11.4,0,0,0
20130423,11.2,5.5,0,0
20130424,12.3,0.1,0,0
20130425,9.3,4.5,0,0
20130426,11.7,0.1,0,0
20130427,12.8,0,0,0
20130428,16,0,0,0
20130429,13.5,21,0,0
